"date","home.team","home.score","away.team","away.score"
"2018-02-02","FC Koln",2,"Dortmund",3
"2018-02-03","Freiburg",0,"Leverkusen",0
"2018-02-03","Hertha",1,"Hoffenheim",1
"2018-02-03","Mainz",0,"Bayern Munich",2
"2018-02-03","M'gladbach",0,"RB Leipzig",1
"2018-02-03","Schalke 04",1,"Werder Bremen",2
"2018-02-03","Wolfsburg",1,"Stuttgart",1
"2018-02-04","Augsburg",3,"Ein Frankfurt",0
"2018-02-04","Hamburg",1,"Hannover",1
"2018-02-09","RB Leipzig",2,"Augsburg",0
"2018-02-10","Bayern Munich",2,"Schalke 04",1
"2018-02-10","Dortmund",2,"Hamburg",0
"2018-02-10","Ein Frankfurt",4,"FC Koln",2
"2018-02-10","Hannover",2,"Freiburg",1
"2018-02-10","Hoffenheim",4,"Mainz",2
"2018-02-10","Leverkusen",0,"Hertha",2
"2018-02-11","Stuttgart",1,"M'gladbach",0
"2018-02-11","Werder Bremen",3,"Wolfsburg",1
"2018-02-16","Hertha",0,"Mainz",2
"2018-02-17","FC Koln",1,"Hannover",1
"2018-02-17","Freiburg",1,"Werder Bremen",0
"2018-02-17","Hamburg",1,"Leverkusen",2
"2018-02-17","Schalke 04",2,"Hoffenheim",1
"2018-02-17","Wolfsburg",1,"Bayern Munich",2
"2018-02-18","Augsburg",0,"Stuttgart",1
"2018-02-18","M'gladbach",0,"Dortmund",1
"2018-02-19","Ein Frankfurt",2,"RB Leipzig",1
"2018-02-23","Mainz",1,"Wolfsburg",1
"2018-02-24","Bayern Munich",0,"Hertha",0
"2018-02-24","Hannover",0,"M'gladbach",1
"2018-02-24","Hoffenheim",1,"Freiburg",1
"2018-02-24","Stuttgart",1,"Ein Frankfurt",0
"2018-02-24","Werder Bremen",1,"Hamburg",0
"2018-02-25","Leverkusen",0,"Schalke 04",2
"2018-02-25","RB Leipzig",1,"FC Koln",2
"2018-02-26","Dortmund",1,"Augsburg",1
"2018-03-02","M'gladbach",2,"Werder Bremen",2
"2018-03-03","Augsburg",0,"Hoffenheim",2
"2018-03-03","Ein Frankfurt",1,"Hannover",0
"2018-03-03","Hamburg",0,"Mainz",0
"2018-03-03","RB Leipzig",1,"Dortmund",1
"2018-03-03","Schalke 04",1,"Hertha",0
"2018-03-03","Wolfsburg",1,"Leverkusen",2
"2018-03-04","FC Koln",2,"Stuttgart",3
"2018-03-04","Freiburg",0,"Bayern Munich",4
"2018-03-09","Mainz",0,"Schalke 04",1
"2018-03-10","Bayern Munich",6,"Hamburg",0
"2018-03-10","Hannover",1,"Augsburg",3
"2018-03-10","Hertha",0,"Freiburg",0
"2018-03-10","Hoffenheim",3,"Wolfsburg",0
"2018-03-10","Leverkusen",2,"M'gladbach",0
"2018-03-11","Dortmund",3,"Ein Frankfurt",2
"2018-03-11","Stuttgart",0,"RB Leipzig",0
"2018-03-12","Werder Bremen",3,"FC Koln",1
"2018-03-16","Freiburg",1,"Stuttgart",2
"2018-03-17","Augsburg",1,"Werder Bremen",3
"2018-03-17","Ein Frankfurt",3,"Mainz",0
"2018-03-17","Hamburg",1,"Hertha",2
"2018-03-17","M'gladbach",3,"Hoffenheim",3
"2018-03-17","Wolfsburg",0,"Schalke 04",1
"2018-03-18","Dortmund",1,"Hannover",0
"2018-03-18","FC Koln",2,"Leverkusen",0
"2018-03-18","RB Leipzig",2,"Bayern Munich",1
"2018-03-31","Bayern Munich",6,"Dortmund",0
"2018-03-31","Hannover",2,"RB Leipzig",3
"2018-03-31","Hertha",0,"Wolfsburg",0
"2018-03-31","Hoffenheim",6,"FC Koln",0
"2018-03-31","Leverkusen",0,"Augsburg",0
"2018-03-31","Schalke 04",2,"Freiburg",0
"2018-03-31","Stuttgart",1,"Hamburg",1
"2018-04-01","Mainz",0,"M'gladbach",0
